Time,p2u_relative,reduction_factor,autosens_ratio,sick,autotune_isf,effective_isf,pump_isf,bg
2018-01-01 08:00:00,1.0,1.0,,,,,,149.18751167667995
2018-01-01 08:05:00,1.0,1.0,,,,,,148.65193289243783
2018-01-01 08:10:00,1.0,1.0,,,,,,146.13355591432435
2018-01-01 08:15:00,1.0,1.0,,,,,,144.25141938296431
2018-01-01 08:20:00,1.0,1.0,,,,,,142.1976992306669
2018-01-01 08:25:00,1.0,1.0,,,,,,139.2579417981623
2018-01-01 08:30:00,1.0,1.0,,,,,,135.50231648589508
2018-01-01 08:35:00,1.0,1.0,,,,,,132.67396278480834
2018-01-01 08:40:00,1.0,1.0,,,,,,132.7041532732973
2018-01-01 08:45:00,1.0,1.0,,,,,,135.8593833201962
2018-01-01 08:50:00,1.0,1.0,,,,,,138.86374906564026
2018-01-01 08:55:00,1.0,1.0,,,,,,137.9318311982285
2018-01-01 09:00:00,1.0,1.0,,,,,,131.84940877574425
2018-01-01 09:05:00,1.0,1.0,,,,,,124.86766422207945
2018-01-01 09:10:00,1.0,1.0,,,,,,122.2724541307756
2018-01-01 09:15:00,1.0,1.0,,,,,,126.90103455850524
2018-01-01 09:20:00,1.0,1.0,,,,,,135.75163592931898
2018-01-01 09:25:00,1.0,1.0,,,,,,144.1885957794966
2018-01-01 09:30:00,1.0,1.0,,,,,,149.3891178112297
2018-01-01 09:35:00,1.0,1.0,,,,,,153.33085829721216
2018-01-01 09:40:00,1.0,1.0,,,,,,158.92897150921004
2018-01-01 09:45:00,1.0,1.0,,,,,,167.6431885641406
2018-01-01 09:50:00,1.0,1.0,,,,,,177.8610623432513
2018-01-01 09:55:00,1.0,1.0,,,,,,187.40782875626803
2018-01-01 10:00:00,1.0,1.0,,,,,,195.0211378514939
2018-01-01 10:05:00,1.0,1.0,,,,,,201.29419454203202
2018-01-01 10:10:00,1.0,1.0,,,,,,207.29638251096722
2018-01-01 10:15:00,1.0,1.0,,,,,,214.14376666691936
2018-01-01 10:20:00,1.0,1.0,,,,,,222.99276972089817
2018-01-01 10:25:00,1.0,1.0,,,,,,230.5716522698603
2018-01-01 10:30:00,1.0,1.0,,,,,,224.3012451480305
2018-01-01 10:35:00,1.0,1.0,,,,,,221.16234475511772
2018-01-01 10:40:00,1.0,1.0,,,,,,220.0779074899105
2018-01-01 10:45:00,1.0,1.0,,,,,,219.9799311550003
2018-01-01 10:50:00,1.0,1.0,,,,,,219.8071083424805
2018-01-01 10:55:00,1.0,1.0,,,,,,218.59192786484653
2018-01-01 11:00:00,1.0,1.0,,,,,,216.07967182624532
2018-01-01 11:05:00,1.0,1.0,,,,,,213.5239735818688
2018-01-01 11:10:00,1.0,1.0,,,,,,212.39057829743825
2018-01-01 11:15:00,1.0,1.0,,,,,,213.03171421821324
2018-01-01 11:20:00,1.0,1.0,,,,,,213.44073784280562
2018-01-01 11:25:00,1.0,1.0,,,,,,211.22584425036058
2018-01-01 11:30:00,1.0,1.0,,,,,,205.37516253840454
2018-01-01 11:35:00,1.0,1.0,,,,,,197.81424836847214
2018-01-01 11:40:00,1.0,1.0,,,,,,191.01302417263759
2018-01-01 11:45:00,1.0,1.0,,,,,,186.29544051038516
2018-01-01 11:50:00,1.0,1.0,,,,,,182.55680720255833
2018-01-01 11:55:00,1.0,1.0,,,,,,178.21934317540698
2018-01-01 12:00:00,1.0,1.0,,,,,,172.4861817024522
2018-01-01 12:05:00,1.0,1.0,,,,,,166.21752892689796
2018-01-01 12:10:00,1.0,1.0,,,,,,160.60697541201873
2018-01-01 12:15:00,1.0,1.0,,,,,,156.4105946916411
2018-01-01 12:20:00,1.0,1.0,,,,,,153.4554576391618
2018-01-01 12:25:00,1.0,1.0,,,,,,151.34160947055196
2018-01-01 12:30:00,1.0,1.0,,,,,,149.61482075884396
2018-01-01 12:35:00,1.0,1.0,,,,,,147.70825070176303
2018-01-01 12:40:00,1.0,1.0,,,,,,145.0251045303801
2018-01-01 12:45:00,1.0,1.0,,,,,,140.96405832075558
2018-01-01 12:50:00,1.0,1.0,,,,,,134.91955683401955
2018-01-01 12:55:00,1.0,1.0,,,,,,128.5815271414265
2018-01-01 13:00:00,1.0,1.0,,,,,,129.03272268540636
2018-01-01 13:05:00,1.0,1.0,,,,,,129.72817456839542
2018-01-01 13:10:00,1.0,1.0,,,,,,130.52322542730082
2018-01-01 13:15:00,1.0,1.0,,,,,,131.73184981637232
2018-01-01 13:20:00,1.0,1.0,,,,,,134.11784979992237
2018-01-01 13:25:00,1.0,1.0,,,,,,138.35215259216926
2018-01-01 13:30:00,1.0,1.0,,,,,,144.7473984836078
2018-01-01 13:35:00,1.0,1.0,,,,,,153.71413148063522
2018-01-01 13:40:00,1.0,1.0,,,,,,165.49799047973272
2018-01-01 13:45:00,1.0,1.0,,,,,,179.52039453087622
2018-01-01 13:50:00,1.0,1.0,,,,,,193.59143526932934
2018-01-01 13:55:00,1.0,1.0,,,,,,205.36765858917335
2018-01-01 14:00:00,1.0,1.0,,,,,,213.73428617160965
2018-01-01 14:05:00,1.0,1.0,,,,,,220.06016702339141
2018-01-01 14:10:00,1.0,1.0,,,,,,226.24117574162355
2018-01-01 14:15:00,1.0,1.0,,,,,,233.2268939785738
2018-01-01 14:20:00,1.0,1.0,,,,,,239.84886065377452
2018-01-01 14:25:00,1.0,1.0,,,,,,244.5716264399661
2018-01-01 14:30:00,1.0,1.0,,,,,,246.6188193041911
2018-01-01 14:35:00,1.0,1.0,,,,,,246.76284472317724
2018-01-01 14:40:00,1.0,1.0,,,,,,246.11614289350624
2018-01-01 14:45:00,1.0,1.0,,,,,,245.47480845552758
2018-01-01 14:50:00,1.0,1.0,,,,,,244.9359233912113
