Time,p2u_relative,reduction_factor,autosens_ratio,sick,autotune_isf,effective_isf,pump_isf,bg
2018-01-01 08:00:00,1.0,1.0,,,,,,143.98858477662355
2018-01-01 08:05:00,1.0,1.0,,,,,,143.45300077760632
2018-01-01 08:10:00,1.0,1.0,,,,,,140.93434871231588
2018-01-01 08:15:00,1.0,1.0,,,,,,139.0492505981987
2018-01-01 08:20:00,1.0,1.0,,,,,,136.98098437448948
2018-01-01 08:25:00,1.0,1.0,,,,,,133.99879461457812
2018-01-01 08:30:00,1.0,1.0,,,,,,130.15470812946356
2018-01-01 08:35:00,1.0,1.0,,,,,,127.17801997723754
2018-01-01 08:40:00,1.0,1.0,,,,,,126.99334547495474
2018-01-01 08:45:00,1.0,1.0,,,,,,129.86809701842614
2018-01-01 08:50:00,1.0,1.0,,,,,,132.53448284474695
2018-01-01 08:55:00,1.0,1.0,,,,,,131.2213342816473
2018-01-01 09:00:00,1.0,1.0,,,,,,124.7324080136512
2018-01-01 09:05:00,1.0,1.0,,,,,,117.33458778875665
2018-01-01 09:10:00,1.0,1.0,,,,,,114.32471819162959
2018-01-01 09:15:00,1.0,1.0,,,,,,118.71134297934611
2018-01-01 09:20:00,1.0,1.0,,,,,,128.32379352288908
2018-01-01 09:25:00,1.0,1.0,,,,,,139.78439715276514
2018-01-01 09:30:00,1.0,1.0,,,,,,150.85513454388098
2018-01-01 09:35:00,1.0,1.0,,,,,,162.983519088166
2018-01-01 09:40:00,1.0,1.0,,,,,,177.7184429694303
2018-01-01 09:45:00,1.0,1.0,,,,,,194.95196131686393
2018-01-01 09:50:00,1.0,1.0,,,,,,211.86241940451606
2018-01-01 09:55:00,1.0,1.0,,,,,,225.62794822912636
2018-01-01 10:00:00,1.0,1.0,,,,,,234.833105747854
2018-01-01 10:05:00,1.0,1.0,,,,,,240.25375325426654
2018-01-01 10:10:00,1.0,1.0,,,,,,243.3288279148964
2018-01-01 10:15:00,1.0,1.0,,,,,,245.62192814259691
2018-01-01 10:20:00,1.0,1.0,,,,,,248.74623308747044
2018-01-01 10:25:00,1.0,1.0,,,,,,249.85720729469958
2018-01-01 10:30:00,1.0,1.0,,,,,,236.75144467947646
2018-01-01 10:35:00,1.0,1.0,,,,,,226.72000404993784
2018-01-01 10:40:00,1.0,1.0,,,,,,218.92454043518381
2018-01-01 10:45:00,1.0,1.0,,,,,,212.46949003468714
2018-01-01 10:50:00,1.0,1.0,,,,,,206.41491060614567
2018-01-01 10:55:00,1.0,1.0,,,,,,199.8788857367035
2018-01-01 11:00:00,1.0,1.0,,,,,,192.6660531627769
2018-01-01 11:05:00,1.0,1.0,,,,,,186.07196374786798
