Time,p2u_relative,reduction_factor,autosens_ratio,sick,autotune_isf,effective_isf,pump_isf,bg
2018-01-01 08:00:00,1.0,1.0,,,,,,148.71751167667992
2018-01-01 08:05:00,1.0,1.0,,,,,,148.18193747792708
2018-01-01 08:10:00,1.0,1.0,,,,,,145.66376908483934
2018-01-01 08:15:00,1.0,1.0,,,,,,143.78369056732478
2018-01-01 08:20:00,1.0,1.0,,,,,,141.73938284734464
2018-01-01 08:25:00,1.0,1.0,,,,,,138.82589683194084
2018-01-01 08:30:00,1.0,1.0,,,,,,135.1243084536958
2018-01-01 08:35:00,1.0,1.0,,,,,,132.38725618675593
2018-01-01 08:40:00,1.0,1.0,,,,,,132.5524811638381
2018-01-01 08:45:00,1.0,1.0,,,,,,135.8892997324544
2018-01-01 08:50:00,1.0,1.0,,,,,,139.1209639268483
2018-01-01 08:55:00,1.0,1.0,,,,,,138.45804694597962
2018-01-01 09:00:00,1.0,1.0,,,,,,132.68021701413255
2018-01-01 09:05:00,1.0,1.0,,,,,,126.02647558977299
2018-01-01 09:10:00,1.0,1.0,,,,,,123.6895296800528
2018-01-01 09:15:00,1.0,1.0,,,,,,128.14548420891276
2018-01-01 09:20:00,1.0,1.0,,,,,,136.01914286547833
2018-01-01 09:25:00,1.0,1.0,,,,,,142.79257003235875
2018-01-01 09:30:00,1.0,1.0,,,,,,145.95692405230068
2018-01-01 09:35:00,1.0,1.0,,,,,,147.60240678594715
2018-01-01 09:40:00,1.0,1.0,,,,,,150.52410864860357
2018-01-01 09:45:00,1.0,1.0,,,,,,156.02053014238288
2018-01-01 09:50:00,1.0,1.0,,,,,,162.43658531983596
2018-01-01 09:55:00,1.0,1.0,,,,,,167.69463238678566
2018-01-01 10:00:00,1.0,1.0,,,,,,170.71631560144618
2018-01-01 10:05:00,1.0,1.0,,,,,,172.3092430973628
2018-01-01 10:10:00,1.0,1.0,,,,,,173.7490183120552
2018-01-01 10:15:00,1.0,1.0,,,,,,176.32760496408503
2018-01-01 10:20:00,1.0,1.0,,,,,,181.33718796328205
2018-01-01 10:25:00,1.0,1.0,,,,,,185.60030790327846
2018-01-01 10:30:00,1.0,1.0,,,,,,176.5946891010367
2018-01-01 10:35:00,1.0,1.0,,,,,,171.32752385392
2018-01-01 10:40:00,1.0,1.0,,,,,,168.72469467662995
2018-01-01 10:45:00,1.0,1.0,,,,,,167.70359941107193
2018-01-01 10:50:00,1.0,1.0,,,,,,167.1748965594071
2018-01-01 10:55:00,1.0,1.0,,,,,,166.1325663911058
2018-01-01 11:00:00,1.0,1.0,,,,,,164.27658934431975
2018-01-01 11:05:00,1.0,1.0,,,,,,162.8129589445318
2018-01-01 11:10:00,1.0,1.0,,,,,,163.16128704029825
2018-01-01 11:15:00,1.0,1.0,,,,,,165.6307369319286
2018-01-01 11:20:00,1.0,1.0,,,,,,168.17420014127555
2018-01-01 11:25:00,1.0,1.0,,,,,,168.36208274901912
2018-01-01 11:30:00,1.0,1.0,,,,,,165.14842000412898
2018-01-01 11:35:00,1.0,1.0,,,,,,160.42929971810267
2018-01-01 11:40:00,1.0,1.0,,,,,,156.64984694960117
2018-01-01 11:45:00,1.0,1.0,,,,,,155.1126214188378
2018-01-01 11:50:00,1.0,1.0,,,,,,154.69299116172388
2018-01-01 11:55:00,1.0,1.0,,,,,,153.79337289440724
2018-01-01 12:00:00,1.0,1.0,,,,,,151.59742695308606
2018-01-01 12:05:00,1.0,1.0,,,,,,148.94829687984304
2018-01-01 12:10:00,1.0,1.0,,,,,,147.02815714066728
2018-01-01 12:15:00,1.0,1.0,,,,,,146.58831465698154
2018-01-01 12:20:00,1.0,1.0,,,,,,147.4608889396068
2018-01-01 12:25:00,1.0,1.0,,,,,,149.26431285653803
2018-01-01 12:30:00,1.0,1.0,,,,,,151.5749804429247
2018-01-01 12:35:00,1.0,1.0,,,,,,153.85488897777424
2018-01-01 12:40:00,1.0,1.0,,,,,,155.50289589512465
2018-01-01 12:45:00,1.0,1.0,,,,,,155.85072088725175
2018-01-01 12:50:00,1.0,1.0,,,,,,154.16829620177353
2018-01-01 12:55:00,1.0,1.0,,,,,,152.0009010938914
2018-01-01 13:00:00,1.0,1.0,,,,,,156.30464788714164
2018-01-01 13:05:00,1.0,1.0,,,,,,160.43693740029755
2018-01-01 13:10:00,1.0,1.0,,,,,,164.10367440426103
2018-01-01 13:15:00,1.0,1.0,,,,,,167.23872456079022
2018-01-01 13:20:00,1.0,1.0,,,,,,170.1580825018587
2018-01-01 13:25:00,1.0,1.0,,,,,,173.4040290240297
2018-01-01 13:30:00,1.0,1.0,,,,,,177.6182192853482
2018-01-01 13:35:00,1.0,1.0,,,,,,183.5502288011525
2018-01-01 13:40:00,1.0,1.0,,,,,,191.4378732982043
2018-01-01 13:45:00,1.0,1.0,,,,,,200.5125324299177
2018-01-01 13:50:00,1.0,1.0,,,,,,208.50268881744185
2018-01-01 13:55:00,1.0,1.0,,,,,,213.19605040704727
2018-01-01 14:00:00,1.0,1.0,,,,,,213.7682222290228
2018-01-01 14:05:00,1.0,1.0,,,,,,211.94611874933503
2018-01-01 14:10:00,1.0,1.0,,,,,,209.97995123832072
2018-01-01 14:15:00,1.0,1.0,,,,,,209.12789062093566
2018-01-01 14:20:00,1.0,1.0,,,,,,208.46533771920522
2018-01-01 14:25:00,1.0,1.0,,,,,,206.63242576993326
2018-01-01 14:30:00,1.0,1.0,,,,,,202.9656977285901
2018-01-01 14:35:00,1.0,1.0,,,,,,198.29761174755163
2018-01-01 14:40:00,1.0,1.0,,,,,,193.75799737612766
2018-01-01 14:45:00,1.0,1.0,,,,,,190.1271719348794
2018-01-01 14:50:00,1.0,1.0,,,,,,187.4619474855205
2018-01-01 14:55:00,1.0,1.0,,,,,,185.6257120822748
2018-01-01 15:00:00,1.0,1.0,,,,,,184.3491685905295
2018-01-01 15:05:00,1.0,1.0,,,,,,183.092506633111
2018-01-01 15:10:00,1.0,1.0,,,,,,181.24731713136163
2018-01-01 15:15:00,1.0,1.0,,,,,,178.19915334818563
2018-01-01 15:20:00,1.0,1.0,,,,,,173.32985966364345
2018-01-01 15:25:00,1.0,1.0,,,,,,167.32999991710693
2018-01-01 15:30:00,1.0,1.0,,,,,,164.18359316842344
2018-01-01 15:35:00,1.0,1.0,,,,,,160.84877794385358
2018-01-01 15:40:00,1.0,1.0,,,,,,157.39453271511996
2018-01-01 15:45:00,1.0,1.0,,,,,,153.88921218471526
2018-01-01 15:50:00,1.0,1.0,,,,,,150.40123094344122
2018-01-01 15:55:00,1.0,1.0,,,,,,146.9981216774312
2018-01-01 16:00:00,1.0,1.0,,,,,,143.73550261592302
2018-01-01 16:05:00,1.0,1.0,,,,,,140.64301362528914
2018-01-01 16:10:00,1.0,1.0,,,,,,137.764555899293
2018-01-01 16:15:00,1.0,1.0,,,,,,135.27858413580873
2018-01-01 16:20:00,1.0,1.0,,,,,,133.6440640095184
2018-01-01 16:25:00,1.0,1.0,,,,,,133.34125064083645
2018-01-01 16:30:00,1.0,1.0,,,,,,134.40093612330796
2018-01-01 16:35:00,1.0,1.0,,,,,,135.86544390421307
