Time,p2u_relative,reduction_factor,autosens_ratio,sick,autotune_isf,effective_isf,pump_isf,bg
2018-01-01 08:00:00,1.0,1.0,,,,,,146.5726890766143
2018-01-01 08:05:00,1.0,1.0,,,,,,146.03710942388557
2018-01-01 08:10:00,1.0,1.0,,,,,,143.5186654255633
2018-01-01 08:15:00,1.0,1.0,,,,,,141.63566266174197
2018-01-01 08:20:00,1.0,1.0,,,,,,139.57697765762563
2018-01-01 08:25:00,1.0,1.0,,,,,,136.62056485312246
2018-01-01 08:30:00,1.0,1.0,,,,,,132.82545981660584
2018-01-01 08:35:00,1.0,1.0,,,,,,129.9227662835981
2018-01-01 08:40:00,1.0,1.0,,,,,,129.8335570487449
2018-01-01 08:45:00,1.0,1.0,,,,,,132.8178320471119
2018-01-01 08:50:00,1.0,1.0,,,,,,135.5977849124111
2018-01-01 08:55:00,1.0,1.0,,,,,,134.3906802010033
2018-01-01 09:00:00,1.0,1.0,,,,,,127.98873185639096
2018-01-01 09:05:00,1.0,1.0,,,,,,120.65152755664491
2018-01-01 09:10:00,1.0,1.0,,,,,,117.71604556867118
2018-01-01 09:15:00,1.0,1.0,,,,,,122.41203375224539
2018-01-01 09:20:00,1.0,1.0,,,,,,132.86311973556306
2018-01-01 09:25:00,1.0,1.0,,,,,,145.58858328247194
2018-01-01 09:30:00,1.0,1.0,,,,,,157.911320849518
2018-01-01 09:35:00,1.0,1.0,,,,,,170.99148118188634
2018-01-01 09:40:00,1.0,1.0,,,,,,186.39973320855876
2018-01-01 09:45:00,1.0,1.0,,,,,,204.1443860439701
2018-01-01 09:50:00,1.0,1.0,,,,,,221.46865945563394
2018-01-01 09:55:00,1.0,1.0,,,,,,235.644093993932
2018-01-01 10:00:00,1.0,1.0,,,,,,245.41505368361376
2018-01-01 10:05:00,1.0,1.0,,,,,,251.71039899167656
2018-01-01 10:10:00,1.0,1.0,,,,,,256.04079468488345
2018-01-01 10:15:00,1.0,1.0,,,,,,259.9392303435755
2018-01-01 10:20:00,1.0,1.0,,,,,,264.9055179951287
2018-01-01 10:25:00,1.0,1.0,,,,,,267.93274272774573
2018-01-01 10:30:00,1.0,1.0,,,,,,256.63940119438627
2018-01-01 10:35:00,1.0,1.0,,,,,,248.15140542006523
2018-01-01 10:40:00,1.0,1.0,,,,,,241.49767603783278
2018-01-01 10:45:00,1.0,1.0,,,,,,235.689817012989
2018-01-01 10:50:00,1.0,1.0,,,,,,229.73333636869654
2018-01-01 10:55:00,1.0,1.0,,,,,,222.72596973618084
2018-01-01 11:00:00,1.0,1.0,,,,,,214.48285512247833
2018-01-01 11:05:00,1.0,1.0,,,,,,206.33441855160282
2018-01-01 11:10:00,1.0,1.0,,,,,,199.83013290970774
2018-01-01 11:15:00,1.0,1.0,,,,,,195.4104712344112
2018-01-01 11:20:00,1.0,1.0,,,,,,191.1571911721197
2018-01-01 11:25:00,1.0,1.0,,,,,,184.7680591886376
2018-01-01 11:30:00,1.0,1.0,,,,,,175.32167936216288
2018-01-01 11:35:00,1.0,1.0,,,,,,164.82151374681717
2018-01-01 11:40:00,1.0,1.0,,,,,,155.77638313848277
